,8_de_janeiro_de_2023,abolição,ameaça,armada,associação,atos,atos_antidemocraticos,brasília,conduta,congresso_nacional,considerável,constituído,crime,dano,delito,democrático,depredação,destruição,deterioração,estado,federal,golpe,governo,grave,grupo,inflamável,invasão,legitimamente,manifestante,militar,objetivo,palacio_do_planalto,patrimônio,poder,polícia,praca_dos_tres_poderes,prejuízo,prática,prédio,público,qualificado,relatório,república,réu,sede,substância,tentativa,tombado,violencia,vítima
federal,0.15073666362247287,0.0,0.0,0.0,0.0,0.0013369028618400037,0.03509194655089798,0.13135935049641073,0.0,0.0,0.0,0.0,0.0,0.013377529636929815,0.0,0.0,0.011724756628813515,0.023673669617256494,0.0,0.0,0.0,0.0,0.03470401442869773,0.0,0.0,0.0,0.06873711288744783,0.0,0.0,0.3630063009622537,0.04344846416966552,0.0,0.10414276113479297,0.0,0.5723355807907288,0.1203318580018265,0.03885412081799474,0.0,0.0,0.19276436081996232,0.0,0.450469570098817,0.0,0.0,0.30985312779915686,0.0,0.0,0.0,0.0,0.0
golpe,0.0,0.3174120371534306,0.21203544931968987,0.2876653288520689,0.2186738777047383,0.0,0.0,0.0,0.17875689112075105,0.0,0.26528025457544063,0.16220806796046713,0.1368780643227714,0.23664786306248078,0.14182214950423866,0.28419569480016293,0.0,0.0,0.26812177442683194,0.2937416658311779,0.0,0.0,0.15113023552866506,0.2171446368798363,0.0,0.23084639582409938,0.0,0.164723400344689,0.0,0.05523354012678356,0.0,0.0,0.16984944188384324,0.0,0.0,0.0,0.17822068033140748,0.16283232009512627,0.0,0.0,0.3536081059459939,0.0,0.08667447900728834,0.08505929092939538,0.0,0.2331255576240357,0.2706318766422524,0.29664358238828614,0.20499034559494553,0.25788511784732654
governo,0.0,0.0160123887329884,0.30460773690608606,0.0,0.0,0.0,0.0,0.0,0.0,0.0069507687053717345,0.0,0.6963643917716914,0.0,0.0,0.1258778075665579,0.005944222954853429,0.0,0.1410015501840698,0.0,0.18318200657826086,0.03470401442869773,0.15113023552866506,0.0,0.3287838671036332,0.06497892766294575,0.0,0.0,0.7507863814040376,0.0,0.3216643010285887,0.30837051228030354,0.0,0.0,0.21750218186153686,0.0,0.028008452987070512,0.0,0.0,0.003982882625422567,0.1333985348964464,0.0,0.0,0.12807869205158387,0.0,0.13027881529329552,0.0,0.0,0.0,0.20461777560812341,0.0
grave,0.0,0.24263237456295839,0.571553205754651,0.3121979120880997,0.19216905006166254,0.0,0.0,0.0015353553188075459,0.22204220084495976,0.0,0.6098537927360865,0.46190155041468883,0.11207474095013979,0.37031201297015265,0.12067490424379297,0.25408453264273356,0.0,0.21079784522650336,0.47954775672682015,0.21514754965977018,0.0,0.2171446368798363,0.3287838671036332,0.0,0.0,0.6000545113332979,0.0,0.4866174231832573,0.0,0.0,0.0,0.0,0.4429564451294443,0.014035548674329464,0.0,0.01185348546223845,0.5311283911811575,0.10411664059051697,0.014548740221416575,0.0837730113781029,0.4892280602087231,0.0,0.0,0.0,0.0728284577491824,0.6049755389007495,0.21458934472143396,0.4532099288136062,0.36662338289489205,0.5829925253967027
grupo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15433292156557588,0.0,0.2570284893807955,0.0,0.0,0.017296339687688997,0.0,0.0,0.0,0.0,0.18161725090846637,0.0,0.0,0.0,0.0,0.06497892766294575,0.0,0.0,0.0,0.24926318073810283,0.0,0.0,0.0915694820027822,0.2452561814205231,0.10250573005331703,0.0,0.15447890439966536,0.0,0.09713694734029409,0.0,0.0,0.054220694715002835,0.07356531815561049,0.0,0.0,0.14089624545381438,0.0,0.2724694935372645,0.0,0.0,0.0,0.0,0.0
inflamável,0.0,0.35409224708191095,0.5735719566099492,0.42748942527293377,0.41110668126725003,0.0,0.0,0.0,0.282031874464575,0.10822076424586226,0.8398594326389025,0.0,0.14031369796847423,0.5145734888598648,0.09136399045188534,0.30865471029241853,0.0,0.42872324708781573,0.6973928754878237,0.19434108841627418,0.0,0.23084639582409938,0.0,0.6000545113332979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6270096375155767,0.0,0.0,0.0,0.7650994140915214,0.00853310626143557,0.0,0.0,0.6510252643708518,0.0,0.0,0.0,0.11876814327703267,1.0,0.0,0.6002096690349576,0.35411044479246073,0.8053959098354867
invasão,0.16266777497887913,0.0,0.0,0.0,0.0,0.25943420341586704,0.0,0.0,0.15070218020383155,0.3649655932269649,0.0,0.0,0.026024955788251574,0.0,0.0,0.0,0.5870324349600619,0.131484810938911,0.0,0.0,0.06873711288744783,0.0,0.0,0.0,0.24926318073810283,0.0,0.0,0.0,0.036381278990137454,0.0,0.0,0.257229122103227,0.0,0.0,0.1641099633835135,0.0,0.001101545984124344,0.0,0.3673577660140842,0.20136800342087405,0.0,0.1141464490465917,0.01229873769987201,0.018975035389289567,0.15218513059436684,0.0,0.0,0.0,0.0,0.0
legitimamente,0.0,0.06127594684231378,0.45850371879635315,0.0,0.0,0.0,0.0,0.01272138919567901,0.07026142564099612,0.0379872906638064,0.0,0.8600005392533496,0.014610118432077377,0.0,0.14897069311357639,0.037954797373068616,0.0,0.22109577595773008,0.00898618331058794,0.20872925619527827,0.0,0.164723400344689,0.7507863814040376,0.4866174231832573,0.0,0.0,0.0,0.0,0.0,0.09209427295250075,0.20396818912973036,0.0,0.020868823384545425,0.189757336312612,0.0,0.09711521293856874,0.0,0.0,0.04541477246796384,0.16015883704455308,0.0,0.0,0.0,0.0,0.20427569953785302,0.0,0.11071922152556977,0.0,0.30875473580265794,0.0
manifestante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012009121492042628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14343798269068495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036381278990137454,0.0,0.0,0.12935587123562173,0.0,0.25263324191133185,0.0,0.0,0.12487952823382151,0.024131606551585773,0.0,0.0,0.007362351499931496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
militar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2856726800562906,0.0,0.0,0.0,0.06309417099391408,0.0,0.0,0.0,0.002397083974130275,0.19960690354825117,0.0,0.0,0.016633581779322077,0.3630063009622537,0.05523354012678356,0.3216643010285887,0.0,0.0915694820027822,0.0,0.0,0.09209427295250075,0.12935587123562173,0.0,0.06392108116541154,0.10277821516543932,0.0,0.06458840190832725,0.5279065864183108,0.0,0.0,0.0,0.0,0.0,0.0,0.14167956475351584,0.0,0.0,0.03149085393504814,0.0,0.0,0.0,0.0,0.0
objetivo,0.16000891214963375,0.0,0.0,0.0,0.09076006564017591,0.0,0.0,0.008596895172751362,0.0,0.32076332027644744,0.0,0.0,0.0760912675084467,0.0,0.38232906826567586,0.09514403510596799,0.0,0.41244911602976914,0.0,0.07515786095857248,0.04344846416966552,0.0,0.30837051228030354,0.0,0.2452561814205231,0.0,0.0,0.20396818912973036,0.0,0.06392108116541154,0.0,0.0949256883295846,0.0,0.3439721507118857,0.0,0.271852835309302,0.0,0.019150543021173642,0.0,0.12523263119643574,0.0,0.013383809223909608,0.303788150503676,0.0,0.2955176204234738,0.0,0.0,0.0,0.0,0.0
palacio_do_planalto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3148109788269212,0.0,0.0,0.0,0.0,0.0,0.0,0.25443041364606345,0.23671025842557367,0.0,0.0,0.0,0.0,0.0,0.0,0.10250573005331703,0.0,0.257229122103227,0.0,0.25263324191133185,0.10277821516543932,0.0949256883295846,0.0,0.0,0.0,0.12091761855981124,0.0,0.0,0.0,0.2860685558097182,0.06454712062882569,0.0,0.0,0.0,0.0,0.13967700383800197,0.0,0.0,0.0,0.0,0.0
patrimônio,0.0,0.27099240722516893,0.3989531843492583,0.3635585635931423,0.22367601290561737,0.0,0.0,0.0,0.058510334841506716,0.1415059250706988,0.6599962566448027,0.013851158655069846,0.10243886839451796,0.4976803663547963,0.13743010811228523,0.2327677461334031,0.0,0.42304499202467133,0.6508462421623052,0.14556444414397335,0.10414276113479297,0.16984944188384324,0.0,0.4429564451294443,0.0,0.6270096375155767,0.0,0.020868823384545425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6148224947254638,0.04285570060161281,0.0,0.3158621948494411,0.5687705789000985,0.07746513137889022,0.0,0.0,0.16246348430927396,0.6186957543806249,0.17191016475355558,0.6713576801136314,0.2503958830614927,0.6345371940012174
poder,0.012327449183488663,0.0,0.002378841683239918,0.0,0.0,0.0,0.02178816106429688,0.0,0.0,0.12005751513804967,0.0,0.29892681856707964,0.0,0.0,0.05680297515511784,0.04960151661064401,0.06145998227373717,0.23872659581887207,0.0,0.05371622817959217,0.0,0.0,0.21750218186153686,0.014035548674329464,0.15447890439966536,0.0,0.0,0.189757336312612,0.0,0.06458840190832725,0.3439721507118857,0.0,0.0,0.0,0.0,0.17850847695186672,0.0,0.0,0.02719347461804609,0.029788016235498475,0.0,0.0,0.23007185734490468,0.0,0.33410660065049885,0.0,0.0,0.0,0.03771804553323401,0.0
polícia,0.09792866346449368,0.0,0.0,0.0,0.0,0.0,0.07592558148466476,0.18229984327349927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2690853754732549,0.04132160539778497,0.0,0.0,0.5723355807907288,0.0,0.0,0.0,0.0,0.0,0.1641099633835135,0.0,0.12487952823382151,0.5279065864183108,0.0,0.12091761855981124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3953180256196862,0.0,0.0,0.2618470525023287,0.0,0.0,0.0,0.0,0.0
praca_dos_tres_poderes,0.009359073317316238,0.0,0.009692433456992739,0.0,0.0,0.11992473345176333,0.0,0.35121178071966935,0.0,0.28668741645134893,0.0,0.05194333186945753,0.021260474425727635,0.0,0.0,0.0,0.05982468809607576,0.26320528734583115,0.0,0.0,0.1203318580018265,0.0,0.028008452987070512,0.01185348546223845,0.09713694734029409,0.0,0.0,0.09711521293856874,0.024131606551585773,0.0,0.271852835309302,0.0,0.0,0.17850847695186672,0.0,0.0,0.0,0.0,0.20949995282689324,0.20757672709051242,0.0,0.0,0.01110308214235708,0.035013445135111496,0.32384076156119085,0.0,0.0,0.0,0.06057304646892471,0.0
prejuízo,0.0,0.2861310560838059,0.5051502680351612,0.35172609291713747,0.21692389691954309,0.0,0.0,0.0,0.09786334356190739,0.13942315370957012,0.8295796189351277,0.0,0.05702760740973342,0.5366360559968913,0.005513668147925528,0.2590323468927237,0.0,0.22701613982053265,0.672150958215028,0.14080914819014556,0.03885412081799474,0.17822068033140748,0.0,0.5311283911811575,0.0,0.7650994140915214,0.001101545984124344,0.0,0.0,0.0,0.0,0.0,0.6148224947254638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5938819392027251,0.0,0.0,0.0,0.04881706330872261,0.7479911425372987,0.20579061862921696,0.6409615827337807,0.29159399470514136,0.8272400169254625
prática,0.10927951172107483,0.2846536555625201,0.10235496861139767,0.26193842151647867,0.39800913582125236,0.17046968790239608,0.27730860939165475,0.0,0.32011614581443587,0.0,0.0,0.0,0.2399760280035588,0.16768932402167736,0.3093030164873881,0.21836938230834366,0.0,0.0,0.025390566319865804,0.1312782993765701,0.0,0.16283232009512627,0.0,0.10411664059051697,0.0,0.00853310626143557,0.0,0.0,0.0,0.0,0.019150543021173642,0.0,0.04285570060161281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23322942856165327,0.0,0.0,0.08846443896375716,0.014979836367071172,0.03579316900799818,0.11106341944589701,0.0,0.15193653022277287,0.0
